actor,nepo,n_films,won_national,won_filmfare
Himani Shivpuri,False,4,False,False
Kabir Sadanand,False,4,False,False
Kunal Kumar,False,4,False,False
Nishant Dahiya,False,4,False,False
Rahul Roy,False,4,False,False
Shernaz Patel,False,4,False,False
Rahul Bagga,False,4,False,False
Mohit Chadda,False,4,False,False
Aditi Sharma,False,4,False,False
Smita Jaykar,False,4,False,False
Sagarika Ghatge,False,4,False,False
Tarun Arora,False,4,False,False
Subrat Dutta,False,4,False,False
Amruta Khanvilkar,False,4,False,False
Lilette Dubey,False,4,False,False
Rajesh Jais,False,4,False,False
Rakesh Bedi,False,4,False,False
Richa Chaddha,False,4,False,True
Shaad Randhawa,False,4,False,False
Vineet Kumar,False,4,False,False
Sonal Chauhan,False,4,False,True
Hiten Paintal,False,4,False,False
Atul Parchure,False,4,False,False
Kamal Haasan,False,4,True,True
Meera Chopra,False,4,False,False
Kushal Punjabi,False,4,False,False
Shruti Seth,False,4,False,False
Sandali Sinha,False,4,False,False
Sonam Bajwa,False,4,False,False
Tanisha,False,4,False,False
Adarsh Gourav,False,4,False,False
Tripti Dimri,False,4,False,True
Upendra Limaye,False,4,False,False
Mithila Palkar,False,4,False,False
Vasundhara Das,False,4,False,False
Sohum Shah,False,4,False,False
Soni Razdan,False,4,False,True
Mohit Ahlawat,False,4,False,False
Manish Paul,False,4,False,True
Supriya Karnik,False,4,False,False
Suresh Oberoi,False,4,False,True
Suchitra Krishnamoorthi,False,4,False,False
Sneha Ullal,False,4,False,False
Ishwak Singh,False,4,False,False
Khushalii Kumar,False,4,False,True
Maanvi Gagroo,False,4,False,True
Ishtiyak Khan,False,4,False,False
Sudhanshu Pandey,False,4,False,False
Dhanush,False,4,True,True
Surekha Sikri,False,4,False,False
Sana Khan,False,4,False,False
Punit Pathak,False,4,False,False
Tinu Anand,False,4,False,False
Sooraj Pancholi,True,4,False,True
Ehan Bhat,False,4,False,True
Gauahar Khan,False,4,False,False
Meezaan Jaffery,True,4,False,False
Nidhi Subbaiah,False,4,False,False
Triptii Dimri,False,4,False,False
Mohit Raina,False,4,False,False
Nimrat Kaur,False,4,False,False
Saiee Manjrekar,False,4,False,True
Sikander Kher,False,4,False,False
Tamannaah Bhatia,False,4,False,False
Rahul Bhat,False,4,False,False
Gurmeet Ram Rahim Singh,False,4,False,False
Poonam Dhillon,False,4,False,True
Banita Sandhu,False,4,False,True
Supriya Pilgaonkar,False,4,False,False
Omkar Kapoor,False,4,False,False
Genelia Deshmukh,False,4,False,False
Aakash Dahiya,False,4,False,False
Manjari Phadnis,False,4,False,False
Upasna Singh,False,4,False,False
Darsheel Safary,False,4,False,True
Juhi Babbar,True,4,False,False
Anupriya Goenka,False,4,False,False
Navin Nischol,False,4,False,False
Mahi Gill,False,4,False,True
Eijaz Khan,False,4,False,False
Rahul Bhatt,True,4,False,False
Tia Bajpai,False,4,False,False
Geetanjali Thapa,False,4,False,False
Vikas Bhalla,False,4,False,False
Vivaan Shah,False,4,False,False
Mahek Chahal,False,4,False,False
Abhimanyu Dassani,False,4,False,True
Masumeh Makhija,False,4,False,False
Gurleen Chopra,False,4,False,False
Puneet Issar,False,4,False,False
Flora Saini,False,4,False,False
Raashii Khanna,False,4,False,False
Daisy Shah,False,4,False,False
Mohan Joshi,False,4,False,False
Arzoo Govitrikar,False,4,False,False
Sanjeeda Sheikh,False,4,False,False
Cyrus Sahukar,False,4,False,False
Zoa Morani,False,4,False,False
Vikram Singh,False,4,False,False
Suman Ranganathan,False,4,False,False
Anant Mahadevan,False,4,False,False
Parmeet Sethi,False,4,False,False
Mita Vasisht,False,4,False,False
Joy Sengupta,False,4,False,False
Shishir Sharma,False,4,False,False
Kishor Kadam,False,4,False,False
Avinash Dhyani,False,4,False,False
Prit Kamani,False,4,False,False
Farooq Sheikh,False,4,False,False
Monika Panwar,False,4,False,False
Isha Talwar,False,4,False,False
Shreya Dhanwanthary,False,4,False,False
Shawar Ali,False,4,False,False
Ragini Khanna,False,4,False,False
Anita Raj,False,4,False,False
Sara Khan,False,4,False,False
Vishal Jethwa,False,4,False,False
Rohan Mehra,False,4,False,False
Ashwini Kalsekar,False,4,False,False
Parikshit Sahni,False,4,False,False
Ratna Pathak,False,4,False,False
Mohnish Behl,False,4,False,True
Sudha Chandran,False,3,False,False
Smiriti Kalra,False,3,False,False
Linda Arsenio,False,3,False,False
Chinmay Mandlekar,False,3,False,False
Jay Bhanushali,False,3,False,False
Swastika Mukherjee,False,3,False,False
Sumeet Raghavan,False,3,False,False
Vikas Kumar,False,3,False,False
