year,movie,imdb_rating,imdb_votes,imdb_matched_title
2023,Sirf Ek Bandaa Kaafi Hai,8.0,31116,Sirf Ek Bandaa Kaafi Hai
2023,Starfish,4.3,19961,Starfish
2023,Sukhee,6.0,9392,Sukhee
2023,Tarla,6.8,4632,Tarla
2023,Tejas,4.3,25179,Tejas
2023,Thank You for Coming,4.2,14471,Thank You for Coming
2023,The Archies,4.2,53558,The Archies
2023,The Great Indian Family,5.6,7162,The Great Indian Family
2023,The Kerala Story,6.7,80065,The Kerala Story
2023,The Lady Killer,1.8,1493,The Ladykiller
2023,The Purvanchal Files,8.5,31,The Purvanchal Files
2023,The Rise Of Sudarshan Chakra,8.4,145,The Rise of Sudarshan Chakra
2023,The Tenant,6.2,295,The Tenant
2023,The Vaccine War,7.1,25388,The Vaccine War
2023,Three of Us,7.5,5530,Three of Us
2023,Tiger 3,5.6,56551,Tiger 3
2023,Tiku Weds Sheru,3.4,3554,Tiku Weds Sheru
2023,Trial Period,7.0,8246,Trial Period
2023,Tu Jhoothi Main Makkaar,6.0,30576,Tu Jhoothi Main Makkaar
2023,Tumse Na Ho Payega,7.6,2653,Tumse Na Ho Payega
2023,U-Turn,6.2,3628,U Turn
2023,UT69,4.5,3437,UT69
2023,Yaariyan 2,4.9,13060,Yaariyan 2
2023,Yaatris,6.2,24,Yaatris
2023,Zara Hatke Zara Bachke,5.9,16940,Zara Hatke Zara Bachke
2023,Zwigato,6.6,11188,Zwigato
2024,A Wedding Story,6.4,3892,A Wedding Story
2024,Aayushmati Geeta Matric Pass,6.2,795,Aayushmati Geeta Matric Pass
2024,Accident or Conspiracy: Godhra,6.9,914,Accident or Conspiracy: Godhra
2024,Adbhut,5.2,664,Adbhut
2024,Ae Watan Mere Watan,4.7,1443,Ae Watan Mere Watan
2024,Agni,7.1,15437,Agni
2024,Aliya Basu Gayab Hai,5.8,2818,Aliya Basu Gayab Hai
2024,All India Rank,6.1,3075,All India Rank
2024,Alpha Beta Gamma,5.8,232,Alpha Beta Gamma
2024,Amar Prem Ki Prem Kahani,4.5,717,Amar Prem Ki Prem Kahani
2024,Amar Singh Chamkila,7.8,17364,Amar Singh Chamkila
2024,Ameena,4.8,24,Ameena
2024,Appu,7.7,211,Appu
2024,Article 370,7.8,28392,Article 370
2024,Auron Mein Kahan Dum Tha,6.2,41246,Auron Mein Kahan Dum Tha
2024,Baby John,5.0,19482,Baby John
2024,Bad Newz,4.7,27614,Bad Newz
2024,Bade Miyan Chote Miyan,3.7,40769,Bade Miyan Chote Miyan
2024,Bajrang Aur Ali,7.3,1103,Bajrang Aur Ali
2024,Bandaa Singh Chaudhary,5.8,5456,Bandaa Singh Chaudhary
2024,Bastar: The Naxal Story,6.4,3446,Bastar: The Naxal Story
2024,Bengal 1947,6.7,631,Bengal 1947
2024,Berlin,6.8,4407,Berlin
2024,Bhaiyya Ji,4.7,7486,Bhaiyya Ji
2024,Bhakshak,7.2,7621,Bhakshak
2024,Bhool Bhulaiyaa 3,4.6,78999,Bhool Bhulaiyaa 3
2024,Binny And Family,7.4,5522,Binny and Family
2024,Blackout,6.1,11551,Blackout
2024,Bloody Ishq,3.0,2229,Bloody Ishq
2024,CTRL,6.2,6940,CTRL
2024,Chandu Champion,7.8,36553,Chandu Champion
2024,Chhota Bheem and the Curse of Damyaan,4.6,2323,Chhota Bheem and the Curse of Damyaan
2024,Chote Nawab,,,
2024,Crakk,,,
2024,Crew,5.8,39571,Crew
2024,Dange,5.3,851,Dange
2024,Dashmi,6.6,185,Dashmi
2024,Dedh Bigha Zameen,6.9,840,Dedh Bigha Zameen
2024,Despatch,4.4,5155,Despatch
2024,Do Aur Do Pyaar,6.4,12391,Do Aur Do Pyaar
2024,Do Patti,6.3,70611,Do Patti
2024,Dukaan,7.4,2032,Dukaan
2024,Ella,9.0,69,Ella
2024,Fairy Folk,7.2,83,Fairy Folk
2024,Fighter,6.1,54165,Fighter
2024,Gauraiya Live,,,
2024,Ghudchadi,4.1,604,Ghudchadi
2024,Ghuspaithiya,6.5,2209,Ghuspaithiya
2024,Hamare Baarah,7.1,1771,Hamare Baarah
2024,House of Lies,3.8,200,House of Lies
2024,I Want to Talk,7.1,2610,I Want to Talk
2024,Ishq Vishk Rebound,5.1,8376,Ishq Vishk Rebound
2024,Jahangir National University,4.3,1187,Jahangir National University
2024,Jigra,6.0,25019,Jigra
2024,Jo Tera Hai Woh Mera Hai,5.2,282,Jo Tera Hai Woh Mera Hai
2024,Kaagaz 2,5.8,2750,Kaagaz 2
2024,Kaam Chalu Hai,7.0,14163,Kaam Chalu Hai
