year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2012,Joker,yes,35.87,2.7,10379,4.016,1.567
2012,Khiladi 786,no,107.0,4.5,8853,3.947,2.033
2012,OMG – Oh My God!,yes,149.9,8.1,71210,4.853,2.179
2012,Rowdy Rathore,yes,203.39,5.8,26993,4.431,2.31
2013,Special 26,no,103.0,8.0,62427,4.795,2.017
2014,Entertainment,no,115.93,5.7,3450,3.538,2.068
2014,The Shaukeens,no,46.3,4.8,3401,3.532,1.675
2015,Baby,no,142.98,7.9,63259,4.801,2.158
2015,Brothers,no,140.3,6.4,15591,4.193,2.15
2015,Gabbar Is Back,no,135.81,7.0,29558,4.471,2.136
2015,Singh Is Bliing,no,149.1,5.1,9901,3.996,2.176
2016,Airlift,no,209.97,7.9,61561,4.789,2.324
2016,Rustom,no,216.35,7.0,31439,4.497,2.337
2017,Jolly LLB 2,no,197.33,7.2,30913,4.49,2.297
2017,Naam Shabana,no,60.0,6.2,8451,3.927,1.785
2017,Toilet: Ek Prem Katha,no,311.5,7.2,26002,4.415,2.495
2018,Gold,no,158.0,7.3,15550,4.192,2.201
2018,Pad Man,yes,212.02,7.8,32717,4.515,2.328
2019,Good Newwz,yes,318.57,6.8,23908,4.379,2.505
2019,Housefull 4,yes,280.27,3.7,16315,4.213,2.449
2019,Kesari,no,207.09,7.4,26200,4.418,2.318
2019,Mission Mangal,yes,290.59,6.6,20690,4.316,2.465
2021,Bell Bottom,no,50.58,6.1,24308,4.386,1.712
2022,Bachchhan Paandey,no,73.17,5.0,37318,4.572,1.87
2022,Raksha Bandhan,no,61.61,5.5,31688,4.501,1.797
2022,Ram Setu,no,94.45,5.3,19126,4.282,1.98
2022,Samrat Prithviraj,yes,90.32,5.5,53960,4.732,1.961
2023,Mission Raniganj,no,45.66,7.2,20383,4.309,1.669
2023,OMG 2,no,221.08,7.5,47571,4.677,2.347
2023,Selfiee,yes,23.63,5.7,14897,4.173,1.391
2024,Bade Miyan Chote Miyan,yes,102.16,3.7,40769,4.61,2.014
